State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,pressure,temperatureMax,temperatureMin,visibility,windBearing,windSpeed,NDVI,DayInSeason,Yield
Karnataka,BAGALKOT,1998,Kharif     ,Arhar/Tur,6154,2602,1027.95,23.93,6.96,10,9,3.8,136.179718,0,35.6
Karnataka,BAGALKOT,1998,Kharif     ,Bajra,48855,52375,1028.26,25.88,8.71,10,352,6.03,135.6975403,0,35.6
Karnataka,BAGALKOT,1998,Kharif     ,Castor seed,71,61,1028.29,24.67,8.26,10,25,3.59,135.6769562,0,35.6
Karnataka,BAGALKOT,1998,Kharif     ,Cotton(lint),15225,22129,1027.74,25.48,8.1,10,1,5.18,135.0057983,0,35.6
Karnataka,BAGALKOT,1998,Kharif     ,Groundnut,16368,7734,1027.16,24.83,8.32,9.99,5,4.69,134.8038635,0,35.6
Karnataka,BAGALKOT,1998,Kharif     ,Horse-gram,3372,1156,1027.68,25.35,7.98,10,3,4.86,134.6574707,0,35.6
Karnataka,BAGALKOT,1998,Kharif     ,Jowar,12363,24855,1015.05,56.86,24.22,9.95,352,9.71,150.4278564,0,29.3
Karnataka,BAGALKOT,1998,Kharif     ,Maize,30630,92831,1015.14,56.32,23.91,9.93,354,10.05,150.217865,0,29.3
Karnataka,BAGALKOT,1998,Kharif     ,Moong(Green Gram),13872,1147,1015.13,56.89,24.06,9.93,352,10.01,150.1431122,0,29.3
Karnataka,BAGALKOT,1998,Kharif     ,Niger seed,310,47,1015.16,56.15,23.79,9.92,354,10.13,149.3405762,0,29.3
Karnataka,BAGALKOT,1998,Kharif     ,Onion,3090,14100,1015.43,52.51,22.64,9.93,0,11.89,148.1094971,0,29.3
Karnataka,BAGALKOT,1998,Kharif     ,Rapeseed &Mustard,51,7,1015.41,52.53,22.69,9.94,0,11.86,148.0440521,0,29.3
Karnataka,BAGALKOT,1998,Kharif     ,Rice,197,316,1014.64,58.43,25.28,9.23,347,5.7,147.534317,0,41.1
Karnataka,BAGALKOT,1998,Kharif     ,Sesamum,2395,937,1014.73,59.09,25.75,9.24,344,5.21,146.8112488,0,41.1
Karnataka,BAGALKOT,1998,Kharif     ,Soyabean,5221,3854,1014.36,59.72,25.9,9.22,344,5.04,146.5300293,0,41.1
Karnataka,BAGALKOT,1998,Kharif     ,Sunflower,36785,13374,1014.68,58.49,25.5,9.26,346,5.53,145.9264374,0,41.1
